#CO2_x, CO2_y
3.0023496579042117, 0.006573534148119897
12.210253871083907, 0.006685391487125658
21.418158084263595, 0.006685391487125658
30.626062297443283, 0.006685391487125658
39.83396651062297, 0.007412464190666546
49.041870723802674, 0.008419180241723723
58.24977493698236, 0.008419180241723723
67.45767915016205, 0.008978466936755414
76.66558336334174, 0.010152968996321787
85.87348757652143, 0.01043261234383741
95.08139178970112, 0.01188675775091963
104.2892960028808, 0.012921438136728192
113.49720021606049, 0.01429169053955559
122.70510442924021, 0.016109372298408253
131.9130086424199, 0.01831855474378341
141.12091285559958, 0.0215344532402153
150.32881706877927, 0.025729103452952096
159.53672128195896, 0.03303338769006481
177.95252970831834, 0.0601998067567342
186.26934641699677, 0.09687708250131377
210.3287090385308, 0.9996150255115013
219.5366132517105, 1.0001463478717814
228.74451746489018, 1.0001463478717814
237.95242167806987, 1.0001463478717814
246.71478213899894, 1.0000534663313565
205.55995678790063, 0.996419127693116
168.784731724883, 0.04188754598003164
191.55923658624417, 0.143224802942722
194.35938062657547, 0.19988649500788236
196.22614332012964, 0.25981713084603264
197.90622974432844, 0.339361429322123
198.83961109110555, 0.41345748817656325
199.58631616852722, 0.4744777719390436
200.14634497659347, 0.545304887020494
200.89305005401513, 0.6117734104046242
201.266402592726, 0.6869591171833946
201.63975513143683, 0.7490690488702049
202.3864602088585, 0.8395098265895953
202.94648901692477, 0.9103369416710456
203.69319409434644, 0.9593710982658958
