#S_x, S_y
2.177268635217871, 0.9738492843709378
9.388476773496578, 0.9170427005207088
16.071633057256037, 0.8632147273184216
22.903303925099024, 0.8094672759258836
29.88348937702557, 0.7556821334734629
37.01218941303566, 0.7024042498686285
44.28940403312927, 0.6492621797162375
51.86364782138999, 0.5954733841303204
59.73492077781779, 0.5413986862848134
67.90322290241268, 0.487378323699422
76.5170687792582, 0.43296625328428795
85.42794382427081, 0.3786119758276406
94.48733345336694, 0.32724056074449515
103.69523766654663, 0.27754793789093635
112.90314187972632, 0.23132289254657334
122.11104609290601, 0.18850949604190315
131.31895030608572, 0.14949924906344825
140.5268545192654, 0.11437604461546291
149.7347587324451, 0.08358731205397263
158.9426629456248, 0.05356047686116305
177.35847137198417, 0.01928984930415467
186.56637558516385, 0.007636178868678956
195.77427979834354, 0.0020153475836115486
204.98218401152323, -0.000026048853253968218
214.19008822470295, -0.0002497635312663782
223.39799243788264, -0.0002497635312663782
232.60589665106232, -0.0002497635312663782
241.813800864242, -0.0002497635312663782
248.49695714800146, -0.00043552661211609944
168.41137918617216, 0.03534965843405158

